"","GEOID","POP","POPs","HH","HHs","AGE5U","AGE5Us","AGE18U","AGE18Us","AGE65O","AGE65Os","NFAM","NFAMs","NFAMALONE","NFAMALONEs","POV","POVs","RACWHITE","RACWHITEs","RACBLACK","RACBLACKs","RACASIAN","RACASIANs","RACHSPLAT","RACHSPLATs","POV.FAM","POV.FAMs","POV.NFAM","POV.NFAMs","POV.NFAMALONE","POV.NFAMALONEs"
"166","080130124014",1919,415.80547112462,1781,410.942249240122,41,20.5701207485576,61,27.5508065498472,26,26.940449612353,1559,410.334346504559,68,31.0030395136778,1204,302.73556231003,1455,392.09726443769,37,34.0425531914894,66,49.2401215805471,309,206.686930091185,19,17.629179331307,1185,301.519756838906,93,35.258358662614
"167","080130125011",1966,139.817629179331,1966,139.817629179331,41,22.0359501038199,223,46.7492618352106,247,47.8624489226133,905,121.580547112462,127,43.7689969604863,260,88.145896656535,1632,128.267477203647,0,6.68693009118541,94,43.7689969604863,150,68.0851063829787,32,24.3161094224924,228,86.322188449848,59,26.7477203647416
"168","080130125012",679,91.7933130699088,679,91.7933130699088,30,20.6686930091185,120,34.5489902453078,100,39.7002841756977,253,69.9088145896657,47,25.531914893617,161,50.4559270516717,504,85.1063829787234,50,37.0820668693009,36,24.9240121580547,89,41.3373860182371,49,41.9452887537994,112,37.0820668693009,78,34.0425531914894
"169","080130125051",943,120.9726443769,943,120.9726443769,45,26.9815696306044,200,46.3363866265277,57,26.294867785875,330,105.775075987842,10,9.72644376899696,181,99.0881458966565,921,116.717325227964,0,6.68693009118541,0,6.68693009118541,14,13.3738601823708,0,6.68693009118541,181,99.0881458966565,0,6.68693009118541
"170","080130125052",2441,141.033434650456,2441,141.033434650456,141,43.0625185372032,427,67.8131782000454,352,53.1419656559619,795,114.285714285714,215,48.0243161094225,168,48.0243161094225,2070,131.914893617021,0,6.68693009118541,187,55.3191489361702,81,48.6322188449848,0,6.68693009118541,168,48.0243161094225,78,31.6109422492401
"171","080130125053",680,81.4589665653495,680,81.4589665653495,39,20.9351676081733,143,37.1666780975873,249,52.9748083380774,72,30.3951367781155,54,29.1793313069909,49,46.8085106382979,552,73.5562310030395,0,6.68693009118541,81,55.9270516717325,23,14.5896656534954,49,46.8085106382979,0,6.68693009118541,0,6.68693009118541
"172","080130125071",1483,159.270516717325,1478,159.270516717325,48,20.9351676081733,154,40.1169749590186,128,35.8611093100368,985,147.720364741641,20,12.1580547112462,478,124.620060790274,1072,136.170212765957,59,43.161094224924,151,67.4772036474164,189,64.4376899696049,71,52.2796352583587,407,109.422492401216,0,6.68693009118541
"173","080130125072",1859,207.294832826748,1859,207.294832826748,53,28.3376584092563,165,42.678928433965,91,34.2643663733543,1192,196.352583586626,108,34.0425531914894,660,133.738601823708,1636,199.392097264438,0,6.68693009118541,65,26.1398176291793,48,27.9635258358663,0,6.68693009118541,660,133.738601823708,97,27.9635258358663
"174","080130125073",1215,197.568389057751,1215,197.568389057751,63,23.8403301533466,102,33.8629652941166,91,30.6252686147356,559,192.09726443769,0,6.68693009118541,258,136.170212765957,956,180.547112462006,0,6.68693009118541,68,42.5531914893617,49,26.1398176291793,22,21.8844984802432,236,134.346504559271,0,6.68693009118541
"175","080130125081",997,137.386018237082,997,137.386018237082,70,24.5053426999956,206,45.4750254328633,93,27.7579332688897,390,102.127659574468,71,33.434650455927,114,63.8297872340426,947,142.249240121581,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541,114,63.8297872340426,0,6.68693009118541
"176","080130125082",1164,126.44376899696,1164,126.44376899696,54,27.8907471050564,115,35.5558147498839,73,26.2737784619748,524,96.048632218845,115,32.2188449848024,91,32.2188449848024,1037,114.285714285714,0,6.68693009118541,23,17.0212765957447,59,31.0030395136778,0,6.68693009118541,91,32.2188449848024,16,10.9422492401216
"177","080130125083",1066,187.234042553192,1066,187.234042553192,18,14.4112700196106,122,44.5763100980393,39,24.6856419504522,562,165.349544072948,27,15.1975683890577,323,104.559270516717,917,164.741641337386,13,13.3738601823708,35,21.2765957446809,101,69.9088145896657,20,20.6686930091185,303,107.598784194529,35,32.2188449848024
"178","080130125091",930,101.519756838906,886,100.303951367781,36,23.9254330141695,181,42.9723171624825,165,40.066278549019,204,68.0851063829787,56,33.434650455927,58,40.7294832826748,733,99.0881458966565,38,31.6109422492401,71,38.9057750759878,57,37.6899696048632,8,7.90273556231003,50,40.1215805471125,0,6.68693009118541
"179","080130125092",1772,181.155015197568,1772,181.155015197568,70,32.2188449848024,300,55.6886686472889,258,52.8455970372895,593,199.392097264438,27,15.1975683890577,191,119.148936170213,1522,177.507598784195,27,27.355623100304,40,21.8844984802432,72,49.2401215805471,30,20.6686930091185,161,120.364741641337,0,6.68693009118541
